AMRFP_Subclass	drug_class
NITROIMIDAZOLE	Others
QUATERNARY AMMONIUM	Compounds
MADURAMICIN	Others
PLEUROMUTILIN	Pleuromutilins
STREPTOGRAMIN	Streptogramins
STREPTOGRAMIN A	Streptogramins
STREPTOGRAMIN B	Streptogramins
TANIBORBACTAM	Others
TETRACENOMYCIN	Others
AMINOGLYCOSIDE	Aminoglycosides
BETA-LACTAM	Beta-lactams
CARBAPENEM	Carbapenems
CEPHALOSPORIN	Cephalosporins (3rd gen.)
EFFLUX	Efflux
LINCOSAMIDE	Lincosamides
MACROLIDE	Macrolides
OXAZOLIDINONE	Oxazolidinones
PHENICOL	Phenicols
QUINOLONE	Quinolones
TETRACYCLINE	Tetracyclines
TRIMETHOPRIM	Trimethoprims